Spieler,Verein,Liga,Liga (voll),Alter,Altersband,Fuß,Größe (cm),Minuten,PSV-99,Top-5 PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR P60BIP,Sprint P60BIP,HI-Dist P60BIP,Expl.Acc BIP,BIP Score,BIP Level,Δ HSR BIP,HSR OTIP P30,Sprint OTIP P30,HI-Dist OTIP P30,Expl.Acc OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,Time→HSR (s),Time→HSR CoD (s),Time→Sprint (s),Time→505° (s),Burst Score,Δ T→HSR,Physical Score,IFI Raw,IFI Percentile,IFI Label,IFI Punkte,Box Threat,Dribbling,Finishing,Involvement,Passing Quality,Pressing,Providing Teammates,Run Quality,Pct_Box Threat,Pct_Dribbling,Pct_Finishing,Pct_Involvement,Pct_Passing Quality,Pct_Pressing,Pct_Providing Teammates,Pct_Run Quality,Lbl_Box Threat,Lbl_Dribbling,Lbl_Finishing,Lbl_Involvement,Lbl_Passing Quality,Lbl_Pressing,Lbl_Providing Teammates,Lbl_Run Quality,Final Total,Final Tier,Spielertyp,Transfer Score,Transferwert (€)
Ladislav Mužík,Opava,CZE 2,CZE - FNL,28,24+,Right,178.0,186,31.15,31.15,🔵 HIGH,3,1.7,891.14,423.0,1314.14,2.78,4,🔼 HIGH,101.5,388.39,180.94,569.32,0.78,4,✅ YES,1.5,0.68,,,2.48,0,0.02,16.0,0.115,0.546,AVERAGE,3,-0.3454714618748609,0.8309680781448657,-0.9447614931253429,-0.7288433306609553,0.1756449208176653,0.1479574701980438,1.730484514363264,0.0562671667261459,0.312,0.824,0.094,0.194,0.599,0.639,0.955,0.525,BELOW,STRONG,WEAK,WEAK,AVERAGE,AVERAGE,ELITE,AVERAGE,19.0,🟢 TOP TARGET,Keins dominant,-0.0416722167158663,150000.0
Alexis Alégué,Jablonec,CZE 1,CZE - First League,30,24+,Left,175.0,805,31.28,32.2,🔵 HIGH,3,1.83,710.02,417.98,1128.01,2.06,3,🔼 HIGH,-79.6,300.49,171.9,472.39,0.53,2,✅ YES,-86.4,0.57,0.6,1.09,1.82,4,-0.09,14.0,0.692,0.901,ELITE,5,0.0075967088642933,1.2376722194809762,-1.0549090041710405,0.4757149674455475,1.2164277377140835,-0.1671578168218707,1.433221480342356,2.389627282460826,0.494,0.897,0.064,0.728,0.9,0.477,0.927,0.987,BELOW,STRONG,WEAK,AVERAGE,ELITE,BELOW,ELITE,ELITE,19.0,🟢 TOP TARGET,Läufer + Dribbler,0.5677240030018745,275000.0
Barnabas Lacik,Opava,CZE 2,CZE - FNL,24,24+,Left,186.0,180,31.33,31.33,🔵 HIGH,3,1.88,930.84,572.27,1503.11,3.59,4,🔼 HIGH,141.2,378.74,198.36,577.1,0.64,3,✅ YES,-8.2,0.63,0.79,1.51,2.4,1,-0.03,15.0,0.493,0.827,STRONG,4,1.1111643995609446,1.2678843822388164,-0.5890643606217579,-0.6060729915178319,0.607634957059002,-0.4688008348450077,0.7312814005189195,1.8927206209744487,0.889,0.904,0.345,0.238,0.74,0.287,0.791,0.964,STRONG,ELITE,BELOW,WEAK,AVERAGE,BELOW,STRONG,ELITE,19.0,🟢 TOP TARGET,Komplettflügel,0.2620608952899753,150000.0
Oskar Pietuszewski,Jagiellonia Białystok,POL 1,POL - Ekstraklasa,18,U21,Right,,1053,30.66,31.78,🟡 FAST,2,1.21,859.72,454.65,1314.36,2.22,4,🔼 HIGH,70.1,502.17,257.18,759.35,1.15,4,✅ YES,115.3,0.64,0.68,1.16,1.89,4,-0.02,16.0,0.324,0.712,AVERAGE,3,0.6718803327195053,1.1295307336937557,-0.1044717594038079,-0.325107797752574,-0.4658436687774854,1.2838763435059282,-0.2493304354058191,0.654948647430926,0.779,0.88,0.532,0.365,0.299,0.935,0.383,0.762,STRONG,STRONG,AVERAGE,BELOW,BELOW,ELITE,BELOW,STRONG,19.0,🟢 TOP TARGET,Dribbler,0.2760112278662227,
Ladislav Kodad,Ústí nad Labem,CZE 2,CZE - FNL,28,24+,Right,182.0,1080,31.49,32.2,🔵 HIGH,3,2.04,757.79,465.35,1223.14,2.38,3,🔼 HIGH,-31.8,380.84,209.46,590.31,1.25,3,✅ YES,-6.1,0.56,0.6,1.11,1.76,4,-0.1,15.5,0.174,0.593,AVERAGE,3,-0.7476844560319081,-0.022702050727215,0.7322820261218236,0.0544191380014442,1.129671640889825,0.4083220659313458,0.010801690210912,-0.1706675634201267,0.165,0.463,0.762,0.552,0.875,0.751,0.499,0.426,WEAK,BELOW,STRONG,AVERAGE,STRONG,STRONG,BELOW,BELOW,18.5,🟢 TOP TARGET,Keins dominant,-0.0862232770056519,100000.0
Samuel Šigut,Karviná,CZE 1,CZE - First League,24,24+,Right,178.0,1101,30.61,32.12,🟡 FAST,2,1.16,945.71,419.42,1365.13,1.72,4,🔼 HIGH,156.1,507.23,209.88,717.11,0.72,4,✅ YES,120.3,0.58,0.58,1.18,1.95,3,-0.08,15.5,0.344,0.733,AVERAGE,3,0.4489285477240455,0.8273882382736784,-0.2175310146587598,-0.5071644443738329,-0.5549811204798565,0.5621761114584084,0.9431349435517128,1.2531128474454245,0.697,0.822,0.512,0.278,0.26,0.811,0.853,0.886,AVERAGE,STRONG,AVERAGE,BELOW,BELOW,STRONG,STRONG,STRONG,18.5,🟢 TOP TARGET,Tiefenläufer,0.3008682281376669,350000.0
Erik Jirka,Piast Gliwice,POL 1,POL - Ekstraklasa,29,24+,Right,183.0,1195,30.86,31.74,🟡 FAST,2,1.41,1021.76,497.09,1518.86,2.37,4,🔼 HIGH,232.2,522.72,230.56,753.28,1.39,4,✅ YES,135.8,0.65,0.67,1.38,1.89,3,-0.01,15.5,0.129,0.555,AVERAGE,3,-0.3066308038162191,-0.3483551755392989,1.2913865188768214,0.3205440418372933,0.2538267880007453,0.5414792672741753,-0.7323863107437476,0.0122046370376891,0.336,0.327,0.893,0.662,0.619,0.808,0.181,0.501,BELOW,BELOW,STRONG,AVERAGE,AVERAGE,STRONG,WEAK,AVERAGE,18.5,🟢 TOP TARGET,Keins dominant,0.064400218640043,800000.0
Sheyi Ojo,Maribor,SVN,SVN - 1. SNL,29,24+,Left,179.0,1303,30.21,31.08,🟠 MEDIUM,1,0.76,858.77,410.92,1269.69,3.98,4,🔼 HIGH,69.2,447.45,191.04,638.49,1.75,4,✅ YES,60.5,0.63,0.66,1.15,2.02,3,-0.03,13.5,0.898,0.955,ELITE,5,0.8720115009191135,1.7650152292905537,-1.240150658707478,1.1705256545109912,1.0862527769504944,0.0697703154428009,1.1923487944981246,2.2654126796686302,0.842,0.966,0.038,0.909,0.864,0.597,0.9,0.984,STRONG,ELITE,WEAK,ELITE,STRONG,AVERAGE,ELITE,ELITE,18.5,🟢 TOP TARGET,Läufer + Dribbler,0.7026876062825607,800000.0
Garang Kuol,Sparta Praha,CZE 1,CZE - First League,22,U23,Right,175.0,280,31.02,31.02,🔵 HIGH,3,1.57,704.49,343.85,1048.33,4.0,2,➡ MEDIUM,-85.1,428.35,141.24,569.59,1.03,4,✅ YES,41.4,0.63,0.65,1.11,2.39,3,-0.03,15.5,0.294,0.68,AVERAGE,3,-0.0458890245818171,0.2098507499596738,-0.8487517150801831,0.3844057526175899,-0.1506578149988175,2.719228223435454,0.2600584443505827,-0.1746200539702853,0.457,0.595,0.14,0.688,0.45,0.993,0.635,0.425,BELOW,AVERAGE,WEAK,AVERAGE,BELOW,ELITE,AVERAGE,BELOW,18.5,🟢 TOP TARGET,Keins dominant,0.1841882776162429,
Patrik Schön,Chrudim,CZE 2,CZE - FNL,28,24+,Right,180.0,627,31.67,32.64,🔵 HIGH,3,2.22,817.23,479.02,1296.24,2.31,4,🔼 HIGH,27.6,350.37,126.59,476.96,0.52,2,✅ YES,-36.5,0.68,0.64,1.28,1.91,3,0.02,14.5,0.505,0.835,STRONG,4,1.7443006236108578,0.8168000520774061,1.9492356158385356,-0.7828626569754648,-0.1866013883946549,-0.6966395139419457,-0.4991053252939295,1.6976757675051573,0.978,0.82,0.955,0.18,0.432,0.192,0.278,0.946,ELITE,STRONG,ELITE,WEAK,BELOW,WEAK,BELOW,ELITE,18.5,🟢 TOP TARGET,Tiefenläufer + Box,0.2187750538698801,175000.0
